sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
D14P12b1cec	26625	18152	16996	17674	15062	11141	11141	11141	0	100	0
D14P13b1cec	43079	30976	29523	30224	25935	18583	18583	18574	9	99.9515686380025	0.0484313619975296
D14P16b1cec	71470	50532	48011	49472	41956	32335	32335	31997	338	98.9546930570589	1.04530694294108
D14P18b1cec	34364	23918	22635	23325	19465	17675	17675	17675	0	100	0
D14P24b1cec	53175	37019	35144	36223	29362	26255	26255	26255	0	100	0
D14P26b1cec	54199	39133	37363	38147	32144	24927	24927	24804	123	99.506559152726	0.493440847274044
D14P28b1cec	71151	50147	47742	49078	41532	37040	37040	37040	0	100	0
D14P37b1cec	42194	29741	28322	28934	25326	20949	20949	20949	0	100	0
D14P38b1cec	37614	26723	25070	25711	21571	19600	19600	19600	0	100	0
D14P40b1cec	100717	70612	68586	69809	60064	43195	43195	43129	66	99.8472045375622	0.15279546243778
D14P41b1cec	73447	50776	48510	49960	42140	32968	32968	32968	0	100	0
D14P43b1cec	66107	45679	44352	44961	39893	36125	36125	35857	268	99.2581314878893	0.741868512110727
D14P44b1cec	66459	47469	45569	46483	40037	35829	35829	35792	37	99.8967316977867	0.103268302213294
D14P48b1cec	43074	29651	27682	28890	22155	19832	19832	19832	0	100	0
D14P4b1cec	67619	47536	45436	46509	38640	31914	31914	31914	0	100	0
D14P50b1cec	56348	40577	38616	39706	31953	27380	27380	27380	0	100	0
D14P52b1cec	81391	58281	56509	57311	51051	46726	46726	46719	7	99.9850190472114	0.0149809527886049
D14P55b1cec	202185	135569	133919	134530	122136	88326	88326	87432	894	98.987840499966	1.01215950003396
D14P58b1cec	85488	61182	58551	59948	49699	39613	39613	39458	155	99.6087143109585	0.391285689041482
D14P60b1cec	103869	68943	66363	67967	58355	51769	51769	51754	15	99.9710251308698	0.0289748691301668
D14P6b1cec	36152	25603	24139	24809	20258	18752	18752	18732	20	99.8933447098976	0.106655290102381
D14P8b1cec	35218	25266	24059	24619	20744	18160	18160	18153	7	99.9614537444934	0.0385462555066169
D28P11b1cec	51792	37786	35378	36392	29277	25443	25443	25443	0	100	0
D28P12b1cec	50324	35669	33215	34588	28223	23462	23462	23455	7	99.9701645213537	0.0298354786463193
D28P13b1cec	44566	30702	28005	29383	21322	19769	19769	19769	0	100	0
